Размер;Тип данных;Прямое;Естественное
10В000;Частично упорядоченные;403,722;589,989
10В000;Частично упорядоченные;420,658;713,492
10В000;Частично упорядоченные;437,663;508,327
10В000;Частично упорядоченные;381,279;1В897,15
10В000;Частично упорядоченные;402,995;541,862
10В000;Частично упорядоченные;390,839;490,033
10В000;Частично упорядоченные;373,383;460,318
10В000;Частично упорядоченные;368,746;438,816
10В000;Частично упорядоченные;386,052;527,423
10В000;Частично упорядоченные;391,829;532,117
10В000;Частично упорядоченные;375,654;553,05
10В000;Частично упорядоченные;390,661;519,636
10В000;Частично упорядоченные;385,361;465,953
10В000;Частично упорядоченные;368,202;607,278
10В000;Частично упорядоченные;367,734;536,685
10В000;Частично упорядоченные;380,789;487,368
10В000;Частично упорядоченные;381,922;485,668
10В000;Частично упорядоченные;392,263;458,171
10В000;Частично упорядоченные;388,722;449,367
10В000;Частично упорядоченные;373,716;465,078
10В000;Частично упорядоченные;386,802;491,528
10В000;Частично упорядоченные;387,911;526,439
10В000;Частично упорядоченные;386,838;515,86
10В000;Частично упорядоченные;369,664;481,652
10В000;Частично упорядоченные;384,205;523,617
10В000;Частично упорядоченные;362,36;460,935
10В000;Частично упорядоченные;390,857;504,535
10В000;Частично упорядоченные;382,646;510,747
10В000;Частично упорядоченные;371,88;497,175
10В000;Частично упорядоченные;374,383;486,363
10В000;Частично упорядоченные;388,171;457,183
10В000;Частично упорядоченные;365,977;514,583
10В000;Частично упорядоченные;364,904;400,355
10В000;Частично упорядоченные;393,195;432,884
10В000;Частично упорядоченные;363,747;465,268
10В000;Частично упорядоченные;389,797;390,781
10В000;Частично упорядоченные;361,646;484,378
10В000;Частично упорядоченные;379,193;404,498
10В000;Частично упорядоченные;393,171;547,344
10В000;Частично упорядоченные;365,02;491,462
10В000;Частично упорядоченные;382,438;448,546
10В000;Частично упорядоченные;386,164;549,475
10В000;Частично упорядоченные;385,947;411,536
10В000;Частично упорядоченные;491,575;498,89
10В000;Частично упорядоченные;427,854;564,351
10В000;Частично упорядоченные;368,209;417,729
10В000;Частично упорядоченные;391,324;459,627
10В000;Частично упорядоченные;415,381;527,42
10В000;Частично упорядоченные;386,699;512,512
10В000;Частично упорядоченные;385,808;543,443
10В000;Частично упорядоченные;428,438;573,81
10В000;Частично упорядоченные;423,709;510,278
10В000;Частично упорядоченные;396,608;481,844
10В000;Частично упорядоченные;417,916;468,673
10В000;Частично упорядоченные;379,807;555,239
10В000;Частично упорядоченные;394,454;532,92
10В000;Частично упорядоченные;453,063;514,551
10В000;Частично упорядоченные;380,58;540,509
10В000;Частично упорядоченные;399,095;477,981
10В000;Частично упорядоченные;392,521;526,228
10В000;Частично упорядоченные;419,547;498,39
10В000;Частично упорядоченные;379,913;482,807
10В000;Частично упорядоченные;386,087;495,171
10В000;Частично упорядоченные;473,836;505,262
10В000;Частично упорядоченные;376,274;512,62
10В000;Частично упорядоченные;364,767;561,382
10В000;Частично упорядоченные;430,535;502,705
10В000;Частично упорядоченные;391,29;565,773
10В000;Частично упорядоченные;384,309;440,459
10В000;Частично упорядоченные;444,49;550,859
10В000;Частично упорядоченные;508,891;497,372
10В000;Частично упорядоченные;396,93;546,433
10В000;Частично упорядоченные;376,036;540,714
10В000;Частично упорядоченные;421,974;447,17
10В000;Частично упорядоченные;403,729;480,364
10В000;Частично упорядоченные;379,122;530,591
10В000;Частично упорядоченные;418,381;561,997
10В000;Частично упорядоченные;398,686;550,864
10В000;Частично упорядоченные;377,306;539,258
10В000;Частично упорядоченные;407,087;537,339
10В000;Частично упорядоченные;432,14;493,278
10В000;Частично упорядоченные;397,259;479,882
10В000;Частично упорядоченные;403,69;513,26
10В000;Частично упорядоченные;524,092;556,484
10В000;Частично упорядоченные;383,251;657,454
10В000;Частично упорядоченные;420,621;948,843
10В000;Частично упорядоченные;406,883;461,034
10В000;Частично упорядоченные;386,814;543,932
10В000;Частично упорядоченные;442,326;464,787
10В000;Частично упорядоченные;397,086;515,23
10В000;Частично упорядоченные;379,542;502,553
10В000;Частично упорядоченные;409,459;510,33
10В000;Частично упорядоченные;388,42;528,147
10В000;Частично упорядоченные;372,924;551,256
10В000;Частично упорядоченные;428,928;447,635
10В000;Частично упорядоченные;376,784;514,861
10В000;Частично упорядоченные;393,365;508,425
10В000;Частично упорядоченные;428,799;512,63
10В000;Частично упорядоченные;375,392;638,391
10В000;Частично упорядоченные;394,026;557,093
